2026-03-28 13:18:50 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.orders
2026-03-28 13:18:56 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_orders  rows=99441
2026-03-28 13:18:59 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_orders
2026-03-28 13:18:59 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.customers
2026-03-28 13:18:59 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_customers  rows=99441
2026-03-28 13:19:00 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_customers
2026-03-28 13:19:00 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_reviews
2026-03-28 13:19:01 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_reviews  rows=100562
2026-03-28 13:19:02 | ERROR    | src.transform.silver_transform | ❌ Failed to build local.db.silver_order_reviews: [CAST_INVALID_INPUT] The value '2018-06-10 00:00:00' of the type "STRING" cannot be cast to "BIGINT" because it is malformed. Correct the value as per the syntax, or change its target type. Use `try_cast` to tolerate malformed input and return NULL instead. SQLSTATE: 22018
== DataFrame ==
"__ge__" was called from
/home/rohan/projects/airflow/src/transform/silver_transform.py:90

2026-03-28 13:19:02 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_payments
2026-03-28 13:19:03 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_payments  rows=99440
2026-03-28 13:19:04 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_payments
2026-03-28 13:19:04 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_items
2026-03-28 13:19:04 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_items  rows=98666
2026-03-28 13:19:03 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_items
2026-03-28 13:19:03 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.products
2026-03-28 13:19:03 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.product_category_translation
2026-03-28 13:19:04 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_products  rows=32951
2026-03-28 13:19:04 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_products
2026-03-28 13:19:04 | ERROR    | src.transform.silver_transform | Silver transform finished with failures: ['local.db.silver_order_reviews']
2026-03-28 13:24:14 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.orders
2026-03-28 13:24:33 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_orders  rows=99441
2026-03-28 13:24:39 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_orders
2026-03-28 13:24:39 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.customers
2026-03-28 13:24:41 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_customers  rows=99441
2026-03-28 13:24:45 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_customers
2026-03-28 13:24:45 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_reviews
2026-03-28 13:24:48 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_reviews  rows=100562
2026-03-28 13:30:35 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.orders
2026-03-28 13:30:47 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_orders  rows=99441
2026-03-28 13:30:47 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_orders
2026-03-28 13:30:47 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.customers
2026-03-28 13:30:47 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_customers  rows=99441
2026-03-28 13:30:50 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_customers
2026-03-28 13:30:50 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_reviews
2026-03-28 13:30:50 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_reviews  rows=100562
2026-03-28 13:30:52 | ERROR    | src.transform.silver_transform | ❌ Failed to build local.db.silver_order_reviews: [CAST_INVALID_INPUT] The value '2017-12-24 00:00:00' of the type "STRING" cannot be cast to "BIGINT" because it is malformed. Correct the value as per the syntax, or change its target type. Use `try_cast` to tolerate malformed input and return NULL instead. SQLSTATE: 22018
== DataFrame ==
"__ge__" was called from
/home/rohan/projects/airflow/src/transform/silver_transform.py:90

2026-03-28 13:30:52 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_payments
2026-03-28 13:30:52 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_payments  rows=99440
2026-03-28 13:30:54 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_payments
2026-03-28 13:30:54 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_items
2026-03-28 13:30:54 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_items  rows=98666
2026-03-28 13:30:55 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_items
2026-03-28 13:30:55 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.products
2026-03-28 13:30:55 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.product_category_translation
2026-03-28 13:30:56 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_products  rows=32951
2026-03-28 13:30:56 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_products
2026-03-28 13:30:56 | ERROR    | src.transform.silver_transform | Silver transform finished with failures: ['local.db.silver_order_reviews']
2026-03-28 13:36:16 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_reviews
2026-03-28 13:38:06 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.orders
2026-03-28 13:38:14 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_orders  rows=99441
2026-03-28 13:38:17 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_orders
2026-03-28 13:38:17 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.customers
2026-03-28 13:38:18 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_customers  rows=99441
2026-03-28 13:38:22 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_customers
2026-03-28 13:38:22 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_reviews
2026-03-28 13:38:23 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_reviews  rows=99457
2026-03-28 17:11:24 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.orders
2026-03-28 17:11:34 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_orders  rows=99441
2026-03-28 17:11:39 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_orders
2026-03-28 17:11:39 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.customers
2026-03-28 17:11:40 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_customers  rows=99441
2026-03-28 17:11:43 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_customers
2026-03-28 17:11:43 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_reviews
2026-03-28 17:11:44 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_reviews  rows=99457
2026-03-28 17:11:47 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_reviews
2026-03-28 17:11:47 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_payments
2026-03-28 17:11:49 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_payments  rows=99440
2026-03-28 17:11:50 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_payments
2026-03-28 17:11:50 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_items
2026-03-28 17:11:50 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_items  rows=98666
2026-03-28 17:11:52 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_items
2026-03-28 17:11:52 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.products
2026-03-28 17:11:52 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.product_category_translation
2026-03-28 17:11:52 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_products  rows=32951
2026-03-28 17:11:53 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_products
2026-03-28 17:11:53 | INFO     | src.transform.silver_transform | Silver transform complete ✅
2026-03-29 04:59:39 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.orders
2026-03-29 04:59:45 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_orders  rows=99441
2026-03-29 04:59:50 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_orders
2026-03-29 04:59:50 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.customers
2026-03-29 04:59:52 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_customers  rows=99441
2026-03-29 04:59:55 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_customers
2026-03-29 04:59:55 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_reviews
2026-03-29 04:59:57 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_reviews  rows=99457
2026-03-29 05:00:00 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_reviews
2026-03-29 05:00:00 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_payments
2026-03-29 05:00:01 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_payments  rows=99440
2026-03-29 05:00:03 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_payments
2026-03-29 05:00:03 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.order_items
2026-03-29 05:00:05 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_order_items  rows=98666
2026-03-29 05:00:07 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_order_items
2026-03-29 05:00:07 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.products
2026-03-29 05:00:07 | INFO     | src.transform.silver_transform | Reading bronze table: local.db.product_category_translation
2026-03-29 05:00:08 | INFO     | src.transform.silver_transform | Writing silver table: local.db.silver_products  rows=32951
2026-03-29 05:00:09 | INFO     | src.transform.silver_transform | ✅ Silver table ready: local.db.silver_products
2026-03-29 05:00:09 | INFO     | src.transform.silver_transform | Silver transform complete ✅
